AAB	ABELAG AVIATION
AAC	ARMY AIR CORPS
AAD	ARRENDAMIENTOS AEROS
AAE	AIR ATLANTA EUROPE
AAF	AIGLE AZUR
AAG	ARMENIAN AIRLINES LLC
AAH	AEKO KULA, INC. D/B/A ALOHA AIR CARGO (HONOLULU,HI)
AAI	AIR AURORA, INC. (SUGAR GROVE, IL)
AAJ	ALFA AIRLINES CO., LTD
AAK	ALASKA ISLAND AIR, INC. (ANCHORAGE, AK)
AAL	AMERICAN AIRLINES INC.
AAM	AIM AIR
AAN	CTR ATMOSPHERICA AVIATION A.S.
AAO	ALPHA AVIATION S.R.O.
AAP	ARABASCO AIR SERVICES
AAQ	ASIA ATLANTIC AIRLINES CO., LTD
AAR	ASIANA AIRLINES
AAS	ASKARI AVIATION (PVT) LTD
AAT	CONGO FALCON
AAV	ASTRO AIR INTERNATIONAL, INC. DBA OF PAN PACIFIC AIRLINES
AAW	AFRICAN AIRLINES CORPORATION
AAX	ADVANCE AVIATION CO., LTD
AAY	ALLEGIANT AIR, INC. (FRESNO, CA)
AAZ	AEOLUS AIR LIMITED
ABA	AERO-BETA GMBH & CO., STUTTGART
ABB	AIR BELGIUM SA
ABD	AIR ATLANTA ICELANDIC
ABE	ABAN AIR
ABF	SCANWINGS OY, FINLAND
ABG	ROYAL FLIGHT AIRLINES, CJSC
ABI	ALBA-AIR AVIACION, S.L.
ABJ	ATA-AEROTAXI ABAETE LTDA
ABK	AIRBUS CANADA
ABL	AIR BUSAN
ABM	AERO ALBATROS
ABN	AIR ALBANIA
ABO	AEROEXPRESO BOGOTA
ABP	ABS JETS
ABQ	AIRBLUE LIMITED, M/S.
ABR	ASL AIRLINES (IRELAND) LIMITED
ABT	BENIN AIRLINES
ABV	ASL AIRLINES UK
ABW	AIRBRIDGE CARGO AIRLINES LTD
ABX	ABX AIR, INC. (WILMINGTON, OH)
ABY	AIR ARABIA
ABZ	AIR AMBULANCE SERVICES LIMITED
ACA	AIR CANADA
ACB	AIR CONTINENTAL AFRICA
ACD	ACADEMY AIRLINES (GRIFFIN, GA)
ACE	AVIATION ACES
ACF	CENTRO DE FORMACION AERONAUTICA DE CANARIAS
ACI	AIR CALEDONIE INTERNATIONAL
ACJ	AC AVIATION CO., LTD
ACK	NANTUCKET AIRLINES (NANTUCKET, MA)
ACL	AERCARIBE, S.A.
ACN	AZUL CONECTA LTDA
ACO	AIR CHOICE ONE (ST.LOUIS, MO)
ACP	ASTRAL AVIATION LIMITED
ACQ	ARYAN CARGO EXPRESS
ACR	AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION
ACS	AIRCRAFT SALES AND SERVICES (PVT) LTD
ACT	FLIGHT LINE, INC. (DENVER, CO)
ACU	AIR CARGO TRANSPORTATION SYSTEM LIMITED
ACV	AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)
ACW	SERVICIOS AEREOS ACROSS, S.A. DE C.V.
ACX	ACG AIR CARGO GERMANY GMBH, FLUGHAFEN HAHN
ACY	ALPHA CRUX LLC
ADA	AIRSERVICES AUSTRALIA, FLIGHT INSPECTION UNIT
ADB	ANTONOV COMPANY
ADC	AD ASTRA EXECUTIVE CHARTER SP.Z.O.O.
ADE	ADA AIR
ADG	AEREA FLYING TRAINING ORGANIZATION, S.A.
ADH	AIR ONE
ADI	AUDELI AIR EXPRESS
ADJ	ALADDIN JET CO., LTD
ADK	AVIATION DEVELOPMENT COMPANY NIGERIA LIMITED
ADL	AERO DYNAMICS
ADM	AIR DREAM COLLEGE
ADN	AERODIENST GMBH & CO. KG, NUERNBERG
ADO	AIRDO CO., LTD
ADP	AERODIPLOMATIC, S.A. DE C.V.
ADR	ADRIA AIRWAYS
ADS	ANDERSON AIR LTD.
ADT	ARRENDAMIENTOS Y TRANSPORTES TURISTICOS, S.A. DE C.V.
ADV	ADVANCED FLIGHT TRAINING LTD
ADY	AIR ARABIA ABU DHABI
ADZ	COMPASS CARGO AIRLINES
AEA	AIR EUROPA
AEB	AVION EXPRESS BRASIL
AEE	AEGEAN AIRLINES
AEG	AIREST
