# Newsky Schedule Export
# Airline: UKL - Ukraine Classic Air Alliance
# Date: 2026-07-14 19:10z
#
# <- use hash to add comments.
# Remember to respect headers and proper CSV formatting!
# Empty airframes column with result in ALL available
#
# Start of CSV data:
number,dep,arr,type,duration,mon,tue,wed,thu,fri,sat,sun,airframes,active
300,LGRP,UKBB,pax,160,false,false,false,false,false,false,true,B738,true
301,UGTB,UKLL,pax,185,false,false,false,false,false,false,true,B738,true
302,UGSB,UKHH,pax,150,false,true,false,false,false,false,false,B738,true
303,LTFM,UKLL,pax,125,false,false,true,false,false,false,false,B738,true
304,UKBB,LDPL,pax,140,true,false,false,false,false,false,false,B737,true
305,LTBS,UKBB,pax,160,false,false,false,false,false,false,true,B738,true
306,UKBB,OMDB,pax,340,false,true,false,false,false,false,false,B737,true
307,UKBB,LBWN,pax,95,false,true,false,false,false,false,false,B737,true
308,UKBB,UTTT,pax,355,false,false,true,false,false,false,false,B737,true
309,DTMB,UKBB,pax,205,false,false,true,false,false,false,false,B738,true
310,UKBB,UAAA,pax,400,false,false,false,true,false,false,false,B737,true
311,LLBG,UKBB,pax,195,false,false,false,false,true,false,false,B738,true
312,UKOO,LYTV,pax,115,true,false,false,false,false,false,false,B738,true
313,UKHH,LGIR,pax,180,false,true,false,false,false,false,false,B738,true
315,UKBB,LOWS,pax,145,false,false,false,false,true,false,false,B737,true
316,UKDE,UGSB,pax,130,false,true,false,false,false,false,false,B738,true
317,LTAI,UKBB,pax,155,false,false,false,false,false,true,false,B737,true
318,UKBB,LTAI,pax,155,false,false,false,false,false,true,false,B737,true
319,UKBB,EFKU,pax,158,false,false,false,false,false,false,true,B737,true
320,UKOO,UKBB,pax,60,false,false,false,true,false,false,false,B738,true
321,LYTV,UKOO,pax,115,true,false,false,false,false,false,false,B738,true
322,LDDU,UKBB,pax,130,false,false,false,false,false,true,false,B738,true
323,UGTB,UKOO,pax,145,true,false,false,false,false,false,false,B738,true
324,LTFM,UKBB,pax,125,false,false,true,false,false,false,false,B738,true
325,UKOO,LTFM,pax,90,false,false,true,false,false,false,false,B738,true
326,UKBB,LGKR,pax,145,false,false,false,false,false,false,true,B737,true
327,UKLL,OEGS,pax,290,false,false,false,false,true,false,false,B738,true
328,LTBJ,UKBB,pax,145,false,false,false,false,true,false,false,B738,true
329,HESH,UKHH,pax,250,false,false,false,false,false,true,false,B738,true
330,UKHH,UGTB,pax,170,false,false,false,false,false,false,true,B738,true
331,UKLL,HESH,pax,245,false,false,false,false,false,true,false,B738,true
332,UTTT,UKBB,pax,355,false,false,true,false,false,false,false,B737,true
333,OMDB,UKBB,pax,340,false,true,false,false,false,false,false,B737,true
334,LGIR,UKOO,pax,135,false,true,false,false,false,false,false,B738,true
396,UKBB,UKOO,pax,60,false,false,true,false,false,false,true,B738,true
397,HEGN,UKLL,pax,240,false,false,false,true,false,false,false,B738,true
398,UKBB,LLBG,pax,195,false,false,false,false,true,false,false,B738,true
338,UKBB,LTBJ,pax,145,false,false,false,false,true,false,false,B738,true
339,UKBB,LDDU,pax,130,false,false,false,false,false,true,false,B738,true
340,UKBB,LDSP,pax,135,false,false,false,false,false,true,false,B738,true
341,UKLL,UBBB,pax,215,false,false,true,false,false,false,false,B738,true
342,UKBB,LTBS,pax,160,false,false,false,false,false,false,true,B738,true
343,UKBB,LGRP,pax,160,false,false,false,false,false,false,true,B738,true
344,LTFE,UKOO,pax,110,false,true,false,false,false,false,false,B738,true
345,UKBB,EFTU,pax,160,false,false,false,true,false,false,false,B738,true
346,LGIR,UKHH,pax,170,false,true,false,false,false,false,false,B738,true
347,LBWN,UKBB,pax,95,false,false,true,false,false,false,false,B737,true
348,UKHH,LCLK,pax,175,false,false,false,false,false,false,true,B738,true
352,LATI,UKDE,pax,135,false,false,false,true,false,false,false,B738,true
353,LDSP,UKBB,pax,135,false,false,false,false,false,true,false,B738,true
354,EFTU,UKBB,pax,150,false,false,false,true,false,false,false,B738,true
355,LBBG,UKDE,pax,85,true,false,false,false,false,false,false,B738,true
356,LTAI,UKON,pax,125,false,false,false,false,false,true,false,B737,true
358,UKDE,LYTV,pax,145,false,false,false,false,true,false,false,B738,true
359,HEMA,UKBB,pax,250,true,false,false,false,false,false,false,B737,true
362,UKLL,LTFM,pax,125,true,false,false,false,false,false,false,B738,true
363,UAAA,UKBB,pax,400,false,false,false,true,false,false,false,B737,true
364,UKOO,LGIR,pax,135,false,true,false,false,false,false,false,B738,true
365,OEGS,UKLL,pax,290,false,false,false,false,false,true,false,B738,true
367,UKBB,DTMB,pax,215,false,false,true,false,false,false,false,B738,true
368,LTFM,UKHH,pax,130,true,false,false,false,false,false,false,B738,true
369,UKBB,EFHK,pax,155,false,false,false,true,false,false,false,B738,true
371,UKOO,UGTB,pax,125,true,false,false,false,false,false,false,B738,true
374,UDYZ,UKBB,pax,180,false,false,false,false,true,false,false,B737,true
376,UKLL,LATI,pax,110,false,false,false,true,false,false,false,B738,true
377,UBBB,UKLL,pax,235,false,false,true,false,false,false,false,B738,true
379,LOWS,UKBB,pax,145,false,false,false,false,true,false,false,B737,true
380,UKOO,LTFE,pax,115,false,true,false,false,false,false,false,B738,true
381,UKBB,UDYZ,pax,180,false,false,false,false,true,false,false,B737,true
383,UKON,LTAI,pax,125,false,false,false,false,false,true,false,B737,true
385,LGKR,UKBB,pax,145,false,false,false,false,false,false,true,B737,true
386,EFHK,UKBB,pax,155,false,false,false,true,false,false,false,B738,true
387,LYTV,UKLL,pax,100,false,false,false,false,true,false,false,B738,true
388,LCLK,UKHH,pax,175,false,false,false,false,false,false,true,B738,true
389,EFKU,UKBB,pax,158,false,false,false,false,false,false,true,B737,true
390,LDPL,UKBB,pax,140,true,false,false,false,false,false,false,B737,true
391,UKLL,HEGN,pax,230,false,false,false,true,false,false,false,B738,true
393,UKBB,HEMA,pax,250,true,false,false,false,false,false,false,B737,true
394,UKHH,LTFM,pax,120,false,false,true,false,false,false,false,B738,true
395,UKHH,LBBG,pax,120,true,false,false,false,false,false,false,B738,true
2527,UKDE,UKFF,pax,103,false,false,false,true,false,false,false,F271,true
2533,UKDE,UKKK,pax,70,true,false,true,false,true,false,true,F271,true
2540,UKFF,UKDE,pax,103,false,false,false,true,false,false,false,F271,true
2552,UKKK,UKDE,pax,70,true,false,true,false,true,false,true,F271,true
2566,UKDE,UKLL,pax,105,false,true,false,false,false,true,false,F271,true
2567,UKLL,UKDE,pax,105,false,true,false,false,false,true,false,F271,true
2568,UKDE,UKOO,pax,90,false,false,false,true,false,false,true,F271,true
2569,UKOO,UKDE,pax,90,false,false,false,true,false,false,true,F271,true
2570,UKDE,UKCC,pax,65,false,false,false,false,false,true,false,F271,true
2571,UKCC,UKDE,pax,65,false,false,false,false,false,true,false,F271,true
2572,UKDE,UKHH,pax,70,false,true,false,false,false,false,false,F271,true
2573,UKHH,UKDE,pax,70,false,true,false,false,false,false,false,F271,true
2574,UKKK,UKLI,pax,90,true,false,false,false,false,false,false,F271,true
2575,UKLI,UKKK,pax,90,true,false,false,false,false,false,false,F271,true
2576,UKKK,UKLN,pax,80,false,false,true,false,false,false,false,F271,true
2577,UKLN,UKKK,pax,80,false,false,true,false,false,false,false,F271,true
2578,UKKK,UKLU,pax,105,false,false,false,false,true,false,false,F271,true
2579,UKLU,UKKK,pax,105,false,false,false,false,true,false,false,F271,true
5001,UKKK,UKOO,pax,70,true,false,false,false,false,false,false,B738,true
5002,UKOO,UKHH,pax,80,true,false,false,false,false,false,false,B738,true
5003,UKHH,UKKK,pax,70,true,false,false,false,false,false,false,B738,true
5004,UKKK,UKDD,pax,70,false,true,false,false,false,false,false,B738,true
5005,UKDD,UKLI,pax,95,false,true,false,false,false,false,false,B738,true
5006,UKLI,UKKK,pax,70,false,true,false,false,false,false,false,B738,true
5007,UKKK,UKDE,pax,70,false,false,true,false,false,false,false,B738,true
5008,UKDE,UKFF,pax,60,false,false,true,false,false,false,false,B738,true
5009,UKFF,UKKK,pax,85,false,false,true,false,false,false,false,B738,true
5010,UKKK,UKLI,pax,70,false,false,false,true,false,false,false,B738,true
5011,UKLI,UKOO,pax,75,false,false,false,true,false,false,false,B738,true
5012,UKOO,UKKK,pax,70,false,false,false,true,false,false,false,B738,true
5013,UKKK,UKHH,pax,70,false,false,false,false,true,false,false,B738,true
5014,UKHH,UKDD,pax,50,false,false,false,false,true,false,false,B738,true
5015,UKDD,UKKK,pax,70,false,false,false,false,true,false,false,B738,true
5016,UKKK,UKFF,pax,85,false,false,false,false,false,true,false,B738,true
5017,UKFF,UKDE,pax,60,false,false,false,false,false,true,false,B738,true
5018,UKDE,UKKK,pax,70,false,false,false,false,false,true,false,B738,true
5019,UKKK,UKOO,pax,70,false,false,false,false,false,false,true,B738,true
5020,UKOO,UKLI,pax,75,false,false,false,false,false,false,true,B738,true
5021,UKLI,UKKK,pax,70,false,false,false,false,false,false,true,B738,true
5026,UKDE,EVRA,pax,130,true,false,false,false,false,false,false,A320,true
5027,EVRA,UKHH,pax,120,true,false,false,false,false,false,false,A320,true
5028,UKHH,UKDE,pax,55,true,false,false,false,false,false,false,A320,true
5029,UKDE,EDDS,pax,180,false,true,false,false,false,false,false,A320,true
5030,EDDS,UKDD,pax,175,false,true,false,false,false,false,false,A320,true
5031,UKDD,UKDE,pax,50,false,true,false,false,false,false,false,A320,true
5032,UKDE,LJLJ,pax,155,false,false,true,false,false,false,false,A320,true
5033,LJLJ,UKOO,pax,130,false,false,true,false,false,false,false,A320,true
