UKL	Ukraine Alliance "UCAA"
HKB	Classic "UCAA"
UCL	Classic
WRC	WIND ROSE
AUI	Ukraine International
PDA	Podillia Avia
UKR	Air Ukraine
UTN	SkyLine Express
NPG	Supernova Airlines
UBE	Bees Airlines
SQP	SKYUP
BAY	Bravo Airways
SSV	Anda Air
ANR	YanAir
UKM	UMair
KHK	Kharkiv Airlines
ONX	Air Onix
UDN	DNIEPROAVIA
WAU	WIZZ AIR UKRAINE
UDC	DonbassAero
KHO	Khors Aircompany
SIT	Aerosvit
UZA	Constanta
MSI	MOTOR SICH
BKV	Bukovyna
ILL	Illich-Avia
OTL	SOUTH AIRLINES
ODS	ODESSA AIRLINES
CHG	CHALLENGE AIRLINES
UNR	Rivne Universal Avia
URG	AIR URGA
AFR	Air France
BAW	234
TAP	Rivne Universal Avia123.
