ABW	AIRBRIDGE CARGO AIRLINES LTD	AIRBRIDGE CARGO	 
ACY	ALPHA CRUX LLC	CRUX	 
AFL	AEROFLOT - RUSSIAN AIRLINES	AEROFLOT	 
AGK	AGAT AIRLINES	AGAT	 
AGU	ANGARA AIRLINES JSC	SARMA	 
AII	A247	ALPHA TWIN	 
AKY	YAK-SERVICE	YAK-SERVICE	 
ALH	ALANIA LLC	WHITE SWAN	 
ATI	ART AVIA	ART AVIA	 
AUL	SMARTAVIA AIRLINES, JOINT STOCK COMPANY	ARCHANGELSK AIR	 
AZO	JSC AZIMUTH AIRLINES	AZIMUTH-DON	 
AZS	AVIACON ZITOTRANS	ZITOTRANS	 
AZV	AZUR AIR	AZUR AIR	 
BGM	AK BARS AERO	BUGAVIA	 
BKL	AIRCOMPANY BARCOL	BARCOL	 
BLL	BALTIC AIRLINES	BALTIC AIRLINES	 
BLO	VC BELOGORIE	BELOGORIE	 
BRP	AIRPORT BRATSK, JSC	AEROBRA	 
BUN	BURYAT AIRLINES AIRCOMPANY	BURAL	 
BVV	SPARC AVIA ZAO	SPARC	 
BYL	BYLINA, JOINT-STOCK COMPANY	BYLINA	 
CDV	AIRLINE SKOL	SKOL	 
CHD	223 FLIGHT UNIT, STATE AIRLINE	CHKALOVSK-AVIA	 
CIG	SIRIUS-AERO	SIRIUS AERO	 
CPK	FEDERAL STATE BUDGETARY ORGANIZATION GAGARIN RESEARCH & TEST COSMONAUT TRAINING CENTER	CEDAR	 
CTU	GLOBUS	CITYWINGS	 
CVC	CENTRE-AVIA AIRLINES, JSC	AVIACENTRE	 
CVS	CONVERS AVIA AIRLINE	CONVERS	 
DAG	DAGHESTAN AIRLINES	DAGAL	 
DBR	DOBROLET LLC	DROBOLET	 
DNV	DONAVIA, JOINT-STOCK COMPANY	DONAVIA	 
DRU	ALROSA AIR COMPANY LIMITED	MIRNY	 
DXT	AIR MANAGEMENT GROUP,CJSC	DEXTER	 
ERF	EROFEY LLC	GULLIVER	 
ERG	AVIAENERGO	AVIAENERGO	 
ESL	RUSSIAN SKY AIRLINES	RADUGA	 
ETS	ELTSOVKA AIRLINES	ELTSOVKA	 
FGP	FLYING-RESEARCH AEROGEOPHYSICAL CENTER LTD	FLYING CENTER	 
FNT	FINLIGHT AIRLINE L.L.C.	AVIALIGHT	 
FTG	FLYING TECHNOLOGY AIRLINE LIMITED	TECHNOLOGY	 
GAI	GELIX AERO	SURGUT STAR	 
GBM	BERIEV AIRCRAFT COMPANY	BERIEV COMPANY	 
GLP	GLOBUS	GLOBUS	 
GLX	GELIX AIRLINES	RUSSIAN BIRD	 
GOZ	GROZNYY AVIA JSC	GROZNYY AVIA	 
GPH	MYASISCHEV PILOT ENGINEERING PLANT	GEOPHYSICA	 
GZP	GAZPROMAVIA	GAZPROM	 
IAE	IRAERO, AIRCOMPANY	IRAERO	 
ISM	AUO AIRCLUB AIST-M	STORK	 
IZA	IZHAVIA	IZHAVIA	 
JSI	JET AIR GROUP, JOINT STOCK COMPANY	SISTEMA	 
JTC	JETICA	JETICA	 
JTT	JET-2000	MOSCOW JET	 
KAO	KAPO AVIA, JSC	KAZAVIA	 
KAR	AIRCOMPANY IKAR, LLC	IKAR	 
KGL	AIRCOMPANY KOGALYMAVIA LTD	KOGALYM	 
KHF	REGIONAL STATE UNITARY ENTERPRISE KHABAROVSK AIRLINES	KHABAROVSK	 
KIL	KUBAN AIRLINES	AIR KUBAN	 
KMA	KOMIAVIATRANS, OPEN JOINT STOCK COMPANY	KOMI AVIA	 
KMW	KOSTROMA AIRENTERPRISE	KOSTROMA	 
KNI	KD AVIA, OJSC	KALININGRAD AIR	 
KRS	AIR COMPANY COURSE-S	ATLAS	 
